,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 30.00),RP_IPR Score (Max 30.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 60.00),GO_GPHD Score (Max 40.00),OI_RD Score (Max 30.00),OI_WD Score (Max 30.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 20.00),PR Score (Max 100.00)
64,"Jain University, Bangalore",Bengaluru,Karnataka,49.47,65,17.64,20.51,12.76,3.96,5.0,5.04,9.78,6.0,0.73,2.25,60.0,12.52,,27.7,1.68,,33.76
65,NITTE,Mangaluru,Karnataka,49.45,66,12.71,25.0,17.74,10.19,5.0,8.16,7.2,2.0,0.35,3.44,60.0,2.34,,30.0,0.35,,31.61
66,Banasthali Vidyapith,Banasthali,Rajasthan,49.38,67,16.5,16.65,12.21,5.31,5.0,,7.82,1.5,0.84,2.23,60.0,22.44,,30.0,3.04,,31.94
67,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,Puducherry,Pondicherry,49.14,68,12.64,25.0,19.58,11.97,5.0,3.87,3.08,2.0,1.68,1.52,60.0,0.88,,30.0,6.28,,30.99
68,Tezpur University,Tezpur,Assam,49.01,69,11.8,20.46,15.63,8.08,6.25,11.09,10.72,2.25,0.64,3.35,59.34,9.62,,25.75,1.62,,29.47
69,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,48.82,70,11.81,20.83,13.61,3.39,5.0,13.25,16.71,3.5,0.15,5.63,60.0,8.7,,30.0,0.42,,3.16
70,Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,48.67,71,13.8,24.41,14.21,6.6,5.0,7.69,10.06,8.0,0.23,3.61,53.09,3.05,,25.87,1.64,,33.76
71,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,48.45,72,13.42,25.0,15.46,3.03,5.0,7.73,8.68,5.0,,2.51,58.65,4.81,,26.88,6.42,,34.78
72,Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,48.36,73,16.14,22.35,16.21,0.75,5.0,5.26,7.22,7.0,1.15,1.98,57.08,10.65,,29.41,2.02,,6.56
73,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,48.32,74,6.87,20.23,16.09,9.7,5.0,14.08,11.37,2.5,,3.48,48.13,2.63,,20.07,2.7,,45.47
74,Visvesvaraya Technological University,Belgaum,Karnataka,48.1,75,8.06,19.57,12.85,13.82,5.0,16.52,12.98,2.5,0.23,4.71,60.0,2.81,,29.5,1.64,,15.46
75,Gujarat University,Ahmedabad,Gujarat,48.04,76,12.99,25.0,15.72,8.26,6.0,4.39,6.21,1.25,3.76,1.92,60.0,21.99,,30.0,0.0,,2.86
76,Mizoram University,Aizawl,Mizoram,48.03,77,10.27,23.37,16.61,9.09,5.0,8.57,9.25,0.25,1.15,3.65,60.0,13.14,,27.69,1.57,,19.31
77,Bharati Vidyapeeth,Pune,Maharashtra,47.94,78,17.12,21.61,15.5,7.54,5.0,2.94,5.1,2.0,1.66,1.43,60.0,10.42,,29.22,1.36,,35.75
78,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,47.8,79,8.32,25.0,18.91,13.63,5.0,4.77,4.79,2.5,1.15,2.41,60.0,1.46,,30.0,2.98,,30.99
79,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,47.66,80,11.69,17.41,11.68,9.4,6.25,10.63,10.36,0.5,0.59,3.43,59.12,8.62,,25.82,1.01,,41.24
80,Bangalore University,Bengaluru,Karnataka,47.45,81,14.9,19.33,14.41,6.93,5.0,4.58,5.71,1.0,1.62,1.26,60.0,16.46,,30.0,6.36,,39.12
81,Birla Institute of Technology,Ranchi,Jharkhand,47.31,82,12.89,19.2,13.92,7.05,5.0,13.39,12.91,1.25,0.46,4.37,53.22,7.76,,21.39,1.16,,26.87
82,Central University of Punjab,Bathinda,Punjab,47.11,83,8.57,20.46,15.69,6.46,5.75,10.66,13.0,0.5,0.27,5.28,51.19,4.96,,24.47,0.0,,35.69
83,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,47.03,84,13.46,25.0,17.0,12.64,3.0,5.68,6.34,1.0,2.18,2.33,54.17,18.32,,30.0,2.72,,4.34
84,Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,46.9,85,8.5,25.0,15.73,12.1,2.0,9.47,10.07,0.5,0.02,2.91,57.91,3.73,,19.42,2.02,,21.46
85,Sharda University,Greater Noida,Uttar Pradesh,46.88,86,16.22,18.07,13.03,4.61,6.0,7.67,10.31,7.0,0.61,3.38,53.99,3.16,,27.48,0.16,,27.16
86,Sri Venkateswara University,Tirupati,Andhra Pradesh,46.65,87,13.6,23.03,15.13,8.7,5.0,4.09,6.19,0.75,0.52,1.59,60.0,14.82,,28.99,5.96,,25.31
87,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,46.64,88,10.35,25.0,15.96,10.41,3.0,7.91,10.22,1.5,2.38,3.51,55.11,14.74,,25.96,2.07,,4.63
88,Calicut University,Malappuram,Kerala,46.63,89,10.0,25.0,17.82,12.19,5.5,6.73,7.01,0.0,0.08,2.26,53.66,8.78,,30.0,6.89,,24.33
89,University of Agricultural Sciences,Bengaluru,Karnataka,46.47,90,12.5,25.0,18.35,14.21,3.0,2.53,3.65,0.5,2.59,1.37,60.0,15.63,,30.0,5.9,,3.46
90,Chitkara University,Rajpura,Punjab,46.47,90,15.74,13.98,8.76,4.22,5.0,9.96,13.26,8.0,0.61,3.67,53.53,5.01,,26.8,0.62,,33.12
91,Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,46.46,92,13.64,24.86,16.66,5.25,5.0,2.79,3.37,3.0,0.22,0.81,60.0,6.4,,28.13,0.88,,36.83
92,"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,46.34,93,8.02,23.64,17.26,7.95,5.0,8.89,10.65,0.5,0.15,4.31,58.32,8.86,,30.0,0.0,,19.63
93,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,46.33,94,12.45,25.0,18.38,5.66,5.0,6.3,6.94,0.25,0.25,2.03,60.0,3.84,,28.46,10.29,,19.63
94,Yenepoya University,Mangaluru,Karnataka,46.31,95,12.55,24.34,16.03,9.02,5.0,4.16,7.3,1.5,0.67,2.82,57.08,0.88,,29.86,0.57,,27.46
95,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,46.22,96,13.5,21.1,13.05,2.43,5.0,9.8,10.26,6.0,0.1,2.59,54.09,1.01,,20.76,5.5,,36.02
96,University of Lucknow, Lucknow,Uttar Pradesh,45.89,97,15.74,13.26,10.12,3.73,5.0,3.89,6.89,0.0,0.53,1.48,58.65,28.15,,28.41,4.25,,40.31
97,Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,Tamil Nadu,45.78,98,13.62,25.0,16.79,4.65,9.5,1.27,3.03,0.75,0.33,0.92,60.0,6.4,,30.0,,,34.34
98,Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,45.73,99,8.37,24.51,19.35,6.85,5.0,7.48,9.68,0.75,0.31,3.85,58.78,4.28,,29.53,4.86,,4.34
99,Netaji Subhas University of Technology (NSUT),Delhi,Delhi,45.51,100,13.57,24.21,14.96,6.14,6.5,8.08,9.42,0.75,0.34,2.05,60.0,7.98,,19.7,1.06,,11.01
