,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
26,Homi Bhabha National Institute,Mumbai,Maharashtra,60.13,27,10.22,25.0,18.19,19.88,,20.26,19.81,,,6.44,52.2,24.75,15.07,23.76,0.0,15.0,
27,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,59.94,28,19.0,25.0,18.36,,,1.74,15.05,,,4.5,60.0,19.53,24.08,29.19,3.09,20.0,13.72
28,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.77,29,,25.0,19.82,14.08,,18.07,15.59,,,5.59,60.0,9.97,22.95,21.74,4.52,20.0,24.82
29,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,58.69,30,13.97,15.47,12.93,,,19.94,,,,6.42,60.0,16.25,18.11,10.67,9.2,20.0,40.09
30,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,58.6,31,15.0,15.23,12.37,10.14,,18.64,18.0,,,5.87,60.0,14.21,17.31,18.98,8.34,20.0,55.37
31,Chandigarh University,Mohali,Punjab,58.3,32,18.85,25.0,14.7,,,10.3,13.85,,,3.39,60.0,18.18,24.41,30.0,3.4,20.0,24.56
32,Indian Institute of Technology Indore,Indore,Madhya Pradesh,57.31,33,,25.0,18.01,11.64,,21.41,19.46,,,6.59,60.0,11.78,20.15,14.12,6.46,20.0,19.49
33,National Institute of Technology Rourkela,Rourkela,Odisha,57.04,34,16.0,17.75,14.43,,,20.18,19.82,,,6.44,60.0,15.22,15.73,14.64,9.23,20.0,17.02
34,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,56.97,35,13.41,17.16,14.22,,,21.54,21.21,,,6.82,51.62,20.1,20.4,11.02,77.18,20.0,22.93
35,JSS Academy of Higher Education and Research,Mysuru,Karnataka,55.79,36,15.0,25.0,18.75,12.93,,10.86,11.92,,,4.92,60.0,9.66,22.4,30.0,4.55,20.0,15.07
36,Savitribai Phule Pune University,Pune,Maharashtra,55.69,37,13.56,17.22,12.12,,,16.3,15.77,,,5.47,60.0,29.65,3.26,26.01,3.32,20.0,24.29
37,Kerala University,Thiruvananthapuram,Kerala,55.61,38,12.86,24.92,17.22,14.52,,10.74,10.16,,,3.89,60.0,34.82,8.19,30.0,0.0,20.0,4.52
38,Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,55.51,39,,25.0,18.88,18.47,,15.18,1.71,,,6.09,60.0,11.01,20.11,30.0,0.0,20.0,24.02
39,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,55.47,40,15.02,25.0,17.72,,,16.17,14.51,,,4.21,60.0,11.78,15.43,29.69,1.36,20.0,16.38
40,Andhra University,Visakhapatnam,Andhra Pradesh,54.97,41,14.97,24.56,17.67,12.49,,,,,,2.54,60.0,25.19,7.01,30.0,7.68,20.0,10.13
41,Indian Institute of Science Education and Research Pune,Pune,Maharashtra,54.86,42,,25.0,17.38,13.65,,17.09,15.32,,,4.54,52.14,9.39,17.56,22.61,2.1,20.0,21.53
42,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,54.83,43,15.5,21.5,14.74,,,16.3,19.23,,,5.7,60.0,11.19,16.84,25.33,1.66,20.0,17.02
43,Bharathiar University,Coimbatore,Tamil Nadu,54.81,44,10.21,24.6,17.81,,,17.3,16.26,,,6.07,60.0,18.16,1.84,30.0,2.22,20.0,18.27
44,Lovely Professional University,Phagwara,Punjab,54.58,45,18.0,19.12,11.63,,,13.08,18.1,13.0,,4.67,60.0,6.63,23.98,22.75,3.09,20.0,22.1
45,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,54.44,46,15.0,15.86,12.5,12.39,,16.67,14.96,,,4.9,60.0,14.39,17.32,16.12,9.34,20.0,35.25
46,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,54.14,47,15.3,25.0,16.72,,,13.0,14.76,,,4.35,60.0,11.47,12.48,29.74,4.01,20.0,11.24
47,Indian Institute of Technology Ropar,Rupnagar,Punjab,54.12,48,10.01,22.45,16.6,12.06,,16.96,14.06,,,4.94,60.0,7.5,22.78,14.33,8.1,20.0,14.74
48,Amity University,Gautam Budh Nagar,Uttar Pradesh,54.04,49,17.21,17.81,12.39,,,14.39,17.68,11.0,,5.04,60.0,11.92,15.86,29.52,0.21,20.0,9.75
49,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,54.02,50,15.0,25.0,18.18,,,10.92,11.8,,,3.53,60.0,14.56,19.5,30.0,4.8,20.0,10.5
50,Cochin University of Science and Technology,Cochin,Kerala,53.99,51,12.0,25.0,18.57,11.41,,15.49,12.92,,,4.84,60.0,13.76,2.86,30.0,3.24,20.0,14.74
51,Symbiosis International,Pune,Maharashtra,53.93,52,18.0,25.0,16.35,11.17,,,11.41,,,3.16,60.0,18.53,14.37,29.24,1.18,20.0,17.34
52,National Institute of Technology Warangal,Warangal,Telangana,53.74,53,15.0,18.37,14.66,,,16.51,15.8,,,5.07,60.0,12.75,15.2,15.55,7.08,20.0,22.1
53,National Institute of Technology Calicut,Kozhikode,Kerala,53.66,54,14.97,20.49,15.88,,,13.61,11.67,,,4.11,60.0,12.82,14.72,23.63,9.81,20.0,26.88
54,Bharathidasan University,Tiruchirappalli,Tamil Nadu,53.47,55,10.85,24.71,17.99,,,17.04,15.19,,,5.93,56.9,22.88,1.1,28.88,3.35,20.0,8.99
55,Institute of Chemical Technology,Mumbai,Maharashtra,53.38,56,,17.66,14.34,,,16.33,15.53,,,5.42,60.0,15.08,6.32,24.68,4.4,20.0,23.48
56,Gauhati University,Guwahati,Assam,53.28,57,16.0,23.14,17.98,,,,,,,3.05,60.0,28.28,5.41,30.0,5.57,20.0,
57,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,53.26,58,12.0,25.0,19.85,,,,10.99,,,3.66,60.0,20.94,17.99,30.0,10.64,20.0,7.82
58,UPES,Dehradun,Uttarakhand,53.05,59,15.5,23.08,13.67,,,14.74,16.92,,,5.09,60.0,0.62,20.6,25.1,0.06,20.0,27.62
59,Panjab University,Chandigarh,Chandigarh,52.99,60,16.93,13.17,10.26,,,14.86,19.53,,,5.29,40.68,33.38,15.21,26.83,1.35,20.0,29.55
60,Indian Institute of Science Education and Research Kolkata,Mohanpur,West Bengal,52.91,61,,25.0,18.68,12.71,,17.08,15.19,,,5.15,56.4,10.39,13.42,17.79,3.3,20.0,15.73
61,Jamia Hamdard,New Delhi,Delhi,52.83,62,15.0,23.53,16.82,,,12.52,14.5,,,5.4,60.0,10.2,14.63,30.0,1.54,20.0,12.32
62,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,52.72,63,13.65,25.0,18.25,12.56,,10.91,,,,4.66,60.0,3.1,11.49,30.0,0.25,20.0,37.45
63,Indian Institute of Science Education and Research Mohali,Mohali,Punjab,52.58,64,,23.79,17.76,12.17,,14.79,12.26,,,4.01,59.37,11.44,22.94,24.5,3.7,15.0,17.34
64,University of Madras,Chennai,Tamil Nadu,52.58,64,,25.0,19.86,,,16.08,14.85,,,5.75,49.02,16.46,3.22,30.0,0.0,20.0,18.27
65,Delhi Technological University,New Delhi,Delhi,52.38,66,16.5,25.0,10.63,,,14.99,16.25,,,4.65,60.0,7.5,13.41,20.51,2.72,20.0,29.07
66,Mahatma Gandhi University,Kottayam,Kerala,52.3,67,,25.0,16.7,15.21,,13.84,14.0,,,5.05,58.39,12.59,0.32,30.0,0.77,20.0,4.09
67,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,52.24,68,10.17,24.21,18.22,13.91,,14.36,13.27,,,4.17,60.0,3.56,19.98,20.97,6.17,20.0,8.99
68,University of Kashmir,Srinagar,Jammu and Kashmir,52.14,69,15.4,23.69,18.23,,,11.92,13.17,,,4.41,60.0,19.72,0.0,30.0,1.44,20.0,3.66
69,Osmania University,Hyderabad,Telangana,52.02,70,16.0,18.45,12.85,13.2,,,,,,3.09,60.0,25.33,1.9,30.0,6.15,20.0,10.87
70,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,51.75,71,13.61,24.81,18.17,,,14.02,10.54,,,5.98,55.89,5.37,11.91,30.0,2.22,20.0,1.41
71,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,51.68,72,,21.26,17.31,11.47,,16.06,14.02,,,5.18,52.81,9.45,23.16,18.85,8.36,20.0,10.87
72,Indian Institute of Technology Patna,Patna,Bihar,51.24,73,,16.71,13.36,11.27,,17.72,15.46,,,4.86,60.0,10.12,19.2,9.82,5.08,20.0,11.24
73,All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,51.22,74,,25.0,17.85,18.97,,17.0,1.74,,,6.34,50.47,0.21,21.5,27.28,0.35,20.0,13.37
74,"Indian Statistical Institute, Kolkata",Kolkata,West Bengal,51.1,75,,25.0,17.82,17.2,,15.1,12.47,,,4.09,60.0,7.59,11.3,11.92,2.05,20.0,27.37
75,Alagappa University,Karaikudi,Tamil Nadu,51.07,76,11.92,25.0,17.84,,,13.41,14.93,,,5.45,60.0,13.76,0.61,30.0,1.3,20.0,7.82
76,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,51.03,77,11.3,20.97,16.72,,,12.97,11.8,,,4.18,59.86,8.74,11.72,20.99,3.41,20.0,16.7
77,Indian Institute of Science Education and Research Bhopal,Bhopal,Madhya Pradesh,50.94,78,,22.74,17.5,13.24,,14.41,11.72,,,4.19,57.94,8.02,23.29,20.9,3.68,20.0,6.2
78,Graphic Era University,Dehradun,Uttarakhand,50.58,79,12.95,22.68,12.65,,,10.21,11.46,,,3.27,60.0,2.93,17.39,28.69,0.0,20.0,32.5
79,Punjab Agricultural University,Ludhiana,Punjab,50.55,80,11.22,25.0,18.78,14.19,,11.96,12.32,,,4.59,51.2,12.91,1.3,26.9,1.38,20.0,7.82
80,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,50.43,81,11.0,22.45,15.12,,,16.65,15.46,,,5.88,60.0,7.32,4.16,25.67,7.31,20.0,10.5
81,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.41,82,13.86,17.73,14.13,,,17.32,17.1,,,5.65,60.0,9.7,12.88,19.42,0.17,20.0,10.13
82,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,49.94,83,,25.0,17.39,19.96,,14.35,12.59,,,6.17,55.75,0.62,11.1,28.62,0.9,20.0,6.2
83,SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,49.59,84,,25.0,17.55,13.14,,,,,,1.48,60.0,4.38,15.01,30.0,0.16,20.0,5.37
84,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,49.52,85,14.67,21.14,13.24,,,11.98,12.46,,,3.85,55.73,7.59,19.71,28.68,2.24,20.0,11.96
85,Mysore University,Mysuru,Karnataka,49.45,86,14.0,22.38,15.57,,,,,,,2.82,60.0,19.51,5.55,28.41,4.0,20.0,7.02
86,University of Jammu,Jammu,Jammu and Kashmir,49.4,87,13.47,25.0,19.2,10.28,,,10.75,,,3.37,60.0,14.91,0.5,30.0,2.23,20.0,2.32
87,King George`s Medical University,Lucknow,Uttar Pradesh,48.98,88,,25.0,17.77,18.6,,11.18,10.07,,,4.74,60.0,2.81,4.76,27.26,4.23,20.0,9.37
88,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,48.95,89,11.81,20.83,13.61,,,13.25,16.71,,,5.63,60.0,8.7,15.56,30.0,0.42,20.0,4.52
89,Christ University,Bengaluru,Karnataka,48.66,90,18.0,18.53,13.01,,,,,,,1.93,60.0,6.49,20.19,30.0,2.65,20.0,39.72
