,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
19,University of Hyderabad,Hyderabad,Telangana,60.49,20,14.08,25.0,19.07,9.82,2.5,20.28,20.53,2.5,1.24,60.0,23.27,18.71,27.87,0.0,20.0,26.83,
20,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.43,21,15.0,18.27,14.93,11.47,0.0,21.81,22.33,3.0,1.41,60.0,16.18,18.6,21.24,8.49,20.0,58.95,
21,University of Delhi,Delhi,Delhi,60.24,22,18.82,10.87,8.45,8.52,0.0,22.89,27.05,2.5,1.87,57.84,40.0,16.89,26.72,0.37,20.0,39.84,
22,Calcutta University,Kolkata,West Bengal,60.22,23,15.71,25.0,17.71,7.69,0.0,16.79,19.66,1.5,4.36,60.0,37.37,2.72,30.0,0.29,20.0,29.33,
23,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.89,24,8.92,25.0,19.27,15.4,6.0,20.55,19.7,1.5,1.38,59.25,10.29,23.05,21.38,4.71,20.0,27.47,
24,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,58.76,25,17.5,18.95,14.93,10.27,0.0,21.03,24.68,4.0,6.55,60.0,14.65,21.9,17.24,0.02,20.0,25.3,
25,Siksha `O` Anusandhan,Bhubaneswar,Odisha,58.35,26,17.29,25.0,15.7,11.8,0.0,15.03,16.69,5.0,3.38,60.0,13.26,22.41,30.0,1.24,20.0,34.41,
26,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,58.14,27,15.5,25.0,19.84,9.49,0.0,23.77,21.06,6.0,1.36,60.0,11.3,15.77,27.47,4.14,20.0,5.37,
27,Indian Institute of Technology Indore,Indore,Madhya Pradesh,58.0,28,8.51,24.99,17.79,12.57,2.5,25.68,24.47,1.5,1.05,60.0,12.96,21.24,13.81,5.76,20.0,16.1,
28,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.52,29,19.0,25.0,18.02,7.61,0.0,,16.28,9.0,1.03,60.0,18.87,26.75,30.0,3.38,20.0,14.39,
29,Homi Bhabha National Institute,Mumbai,Maharashtra,57.09,30,10.31,25.0,17.84,20.0,0.0,21.9,22.34,1.0,4.21,44.37,26.99,15.65,23.7,0.0,15.0,6.08,
30,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,57.08,31,14.54,15.03,12.35,10.42,2.5,22.49,24.45,4.0,2.26,60.0,15.62,17.85,10.35,9.18,20.0,38.07,
31,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56.44,32,18.41,20.52,13.22,7.76,2.0,17.99,23.5,4.5,1.04,60.0,14.95,17.72,25.3,1.59,20.0,23.94,
32,Indian Institute of Technology Ropar,Rupnagar,Punjab,56.16,33,8.64,23.57,18.13,14.35,9.0,18.05,17.23,2.0,1.47,60.0,6.67,23.79,14.74,7.91,20.0,25.52,
33,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,56.05,34,8.53,25.0,17.41,14.51,7.0,20.41,19.59,2.0,1.72,52.56,10.71,18.86,22.64,2.07,20.0,21.81,
34,Savitribai Phule Pune University,Pune,Maharashtra,55.78,35,14.29,17.2,11.56,10.94,7.0,18.56,19.01,0.0,1.74,60.0,34.63,4.32,26.42,1.03,20.0,15.82,
35,Bharathiar University,Coimbatore,Tamil Nadu,55.58,36,11.43,24.56,18.08,9.03,0.0,21.31,20.49,1.0,0.97,60.0,18.87,2.36,30.0,1.62,18.0,25.52,
36,National Institute of Technology Rourkela,Rourkela,Odisha,55.52,37,16.0,18.08,14.93,8.48,2.5,23.4,24.21,3.0,1.06,56.85,15.84,17.3,1.43,8.68,20.0,14.68,
37,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,55.47,38,15.0,17.37,13.62,12.46,0.0,20.46,19.4,3.0,2.39,60.0,15.59,13.3,15.95,9.99,20.0,33.2,
38,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,55.41,39,10.5,25.0,19.23,18.88,0.0,17.41,14.26,0.0,0.45,60.0,12.32,21.16,30.0,0.35,20.0,20.83,
39,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,55.17,40,15.83,21.94,15.01,9.24,0.0,19.12,23.91,6.0,0.7,60.0,12.47,18.06,25.21,0.78,20.0,8.15,
40,Institute of Chemical Technology,Mumbai,Maharashtra,54.53,41,10.28,18.25,14.77,11.01,2.0,18.33,18.72,11.0,1.55,60.0,17.89,7.74,25.16,2.98,20.0,15.82,
41,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.86,42,12.73,15.96,13.35,10.46,0.0,24.85,25.56,3.0,1.51,51.39,17.61,20.39,9.87,7.76,20.0,20.33,
42,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,53.72,43,7.66,25.0,18.12,13.89,3.5,19.52,19.64,1.0,0.85,60.0,10.16,15.61,18.36,1.61,20.0,13.81,
43,Panjab University,Chandigarh,Chandigarh,53.31,44,15.99,12.95,10.09,7.07,5.0,16.66,22.84,6.0,1.44,42.57,33.21,13.49,25.7,0.73,20.0,28.52,
44,Chandigarh University,Mohali,Punjab,53.29,45,17.87,25.0,14.37,6.31,0.0,5.3,9.59,7.0,3.33,60.0,15.62,26.87,30.0,3.39,20.0,35.18,
45,Lovely Professional University,Phagwara,Punjab,53.22,46,18.0,21.67,12.42,4.13,0.0,12.99,19.25,11.0,1.45,60.0,6.06,25.69,22.66,0.0,20.0,30.92,
46,Kerala University,Thiruvananthapuram,Kerala,52.75,47,13.0,21.25,15.69,14.71,2.0,10.31,11.44,0.5,0.86,60.0,36.02,8.87,30.0,0.0,20.0,8.15,
47,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,52.52,48,13.71,25.0,17.09,6.86,0.0,11.37,14.35,4.0,1.45,60.0,14.68,18.95,30.0,,20.0,18.79,
48,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,52.0,49,15.42,24.66,15.81,7.98,0.0,15.9,18.96,3.0,3.0,60.0,8.45,11.07,27.91,0.43,20.0,9.48,
49,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.96,50,14.98,25.0,17.31,4.73,0.0,18.06,16.74,5.5,0.45,60.0,9.49,11.31,25.84,0.48,20.0,14.68,
50,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,51.86,51,8.77,21.84,16.81,12.09,4.0,16.33,15.47,1.0,0.81,58.13,10.46,24.1,24.43,4.11,20.0,17.73,
51,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,51.84,52,,22.6,15.76,17.35,2.5,17.45,17.47,1.5,2.74,60.0,13.44,0.5,30.0,0.73,20.0,6.78,
52,National Institute of Technology Warangal,Warangal,Telangana,51.83,53,15.0,18.09,14.5,10.1,0.0,17.83,17.98,3.0,0.61,60.0,13.79,18.61,15.65,4.73,20.0,20.33,
53,National Institute of Technology Calicut,Kozhikode,Kerala,51.62,54,15.0,20.37,15.98,9.7,0.0,15.26,14.71,2.5,0.57,60.0,13.62,16.17,23.41,9.53,20.0,17.73,
54,JSS Academy of Higher Education and Research,Mysuru,Karnataka,51.15,55,14.0,25.0,16.21,13.31,0.0,8.51,11.51,2.0,1.45,60.0,9.35,20.72,30.0,3.97,20.0,22.05,
55,Alagappa University,Karaikudi,Tamil Nadu,50.99,56,11.86,24.83,17.93,6.89,0.0,16.24,18.48,1.5,0.41,60.0,13.97,0.89,30.0,1.24,20.0,15.54,
56,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.88,57,16.82,14.68,10.8,5.51,0.0,15.27,20.58,10.0,1.32,60.0,11.25,15.94,28.6,0.41,20.0,16.65,
57,University of Kashmir,Srinagar,Jammu and Kashmir,50.77,58,15.68,22.91,18.09,8.96,5.0,10.72,14.1,0.5,1.62,60.0,19.58,0.0,30.0,3.05,20.0,2.97,
58,Symbiosis International,Pune,Maharashtra,50.59,59,15.48,23.53,16.75,11.87,0.0,7.26,11.0,2.5,2.45,60.0,17.78,15.01,28.41,0.05,20.0,15.54,
59,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,50.58,60,8.58,22.85,18.41,14.51,5.0,15.16,14.56,1.0,0.82,56.5,7.3,23.81,21.08,3.44,20.0,8.15,
60,Delhi Technological University,New Delhi,Delhi,50.54,61,16.5,25.0,11.07,6.62,0.0,15.9,18.53,0.0,1.34,60.0,6.39,15.53,20.61,3.03,20.0,28.52,
61,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.36,62,14.09,18.1,14.51,7.73,0.0,18.81,20.11,2.5,1.36,60.0,10.67,13.99,19.61,7.33,20.0,9.8,
62,Cochin University of Science and Technology,Cochin,Kerala,50.34,63,11.99,23.09,17.37,9.95,0.0,17.68,15.26,0.5,0.93,60.0,13.79,1.03,30.0,0.7,20.0,13.81,
63,Osmania University,Hyderabad,Telangana,49.94,64,16.0,16.35,11.8,12.6,2.0,10.03,11.65,3.0,6.57,60.0,21.26,2.63,29.67,5.6,20.0,9.45,
64,University of Madras,Chennai,Tamil Nadu,49.93,65,10.68,25.0,18.92,8.14,2.0,16.0,16.02,0.0,0.88,52.42,16.98,3.23,30.0,0.0,20.0,14.39,
65,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49.79,66,12.07,17.61,13.64,8.75,1.5,18.78,17.64,1.5,0.92,56.09,14.35,12.4,16.73,9.57,20.0,21.07,
66,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,49.79,66,10.13,21.8,17.06,14.59,2.5,14.45,15.02,0.5,1.58,60.0,4.6,20.55,20.69,5.42,20.0,9.45,
67,Indian Institute of Technology Patna,Patna,Bihar,49.79,66,9.95,14.01,11.16,11.54,6.0,20.56,19.25,2.0,1.05,59.98,10.67,19.89,10.15,7.02,20.0,12.92,
68,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,49.53,69,12.0,22.67,18.25,6.92,0.0,9.77,13.09,1.0,0.44,60.0,22.07,17.94,30.0,8.89,20.0,2.0,
69,Bharathidasan University,Tiruchirappalli,Tamil Nadu,49.45,70,9.42,22.8,17.24,8.38,0.0,18.16,17.39,0.0,0.84,51.85,22.33,1.23,28.46,2.36,20.0,12.31,
70,Mysore University,Mysuru,Karnataka,49.17,71,14.0,21.97,15.78,9.68,6.0,7.16,10.06,1.0,0.38,60.0,27.02,6.52,27.47,2.63,18.0,5.01,
71,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,49.04,72,12.76,25.0,13.3,6.7,0.0,13.51,15.45,1.5,0.28,60.0,7.91,13.0,24.7,8.38,20.0,23.0,
72,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,49.03,73,6.99,18.26,14.92,11.52,5.0,17.9,16.87,2.0,0.59,53.51,9.53,22.07,16.21,9.31,20.0,14.39,
73,"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,48.97,74,11.93,25.0,18.95,14.65,0.0,11.24,12.9,1.5,2.65,53.51,13.97,1.93,28.23,0.21,20.0,7.82,
74,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,48.92,75,13.81,25.0,18.1,10.25,0.0,12.63,12.22,7.0,1.0,57.48,4.67,12.88,30.0,1.88,20.0,0.0,
75,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,48.54,76,15.0,14.77,11.31,13.3,0.0,10.02,10.57,2.5,2.65,60.0,24.77,3.7,28.92,6.01,20.0,16.92,
76,King George`s Medical University,Lucknow,Uttar Pradesh,48.52,77,9.05,25.0,18.09,18.69,0.0,12.51,12.48,0.5,1.45,60.0,3.34,4.85,27.52,4.27,20.0,9.48,
77,Jamia Hamdard,New Delhi,Delhi,48.4,78,14.55,19.62,14.16,7.7,0.0,12.91,17.22,1.0,1.36,60.0,10.37,15.95,28.91,1.47,20.0,11.7,
78,UPES,Dehradun,Uttarakhand,48.34,79,14.5,22.82,13.54,7.33,0.0,10.52,13.81,4.0,0.35,60.0,0.55,22.24,24.74,0.07,20.0,34.47,
79,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,48.18,80,10.0,23.69,16.13,7.97,0.0,17.37,16.7,2.5,0.45,60.0,7.61,4.3,25.52,3.81,20.0,8.49,
80,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,48.17,81,12.25,25.0,18.41,14.98,0.0,7.86,10.01,1.0,1.68,60.0,3.6,12.43,30.0,0.23,20.0,18.53,
81,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,48.15,82,11.65,18.09,14.54,9.65,0.0,15.16,14.96,7.0,1.9,60.0,8.88,13.76,18.49,3.41,20.0,9.45,
82,National Institute of Technology Silchar,Silchar,Assam,48.12,83,13.28,16.29,13.16,8.63,0.0,19.02,18.85,4.5,0.44,60.0,8.84,15.25,14.89,4.02,20.0,6.78,
83,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,47.95,84,13.07,21.78,12.97,5.57,0.0,14.27,15.42,5.0,1.04,57.32,7.35,16.96,28.26,1.47,20.0,16.38,
84,Gujarat University,Ahmedabad,Gujarat,47.91,85,12.89,25.0,15.64,9.31,2.0,5.78,7.81,1.0,4.03,60.0,23.31,9.33,30.0,0.0,20.0,2.97,
85,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Uttarakhand,47.89,86,7.04,25.0,18.51,20.0,0.0,16.51,13.08,0.0,0.09,49.57,0.0,22.35,26.87,0.37,20.0,9.48,
86,Guru Nanak Dev University,Amritsar,Punjab,47.55,87,15.85,19.11,11.49,8.59,0.0,10.36,15.05,0.0,1.81,60.0,17.53,7.37,30.0,5.1,20.0,12.01,
87,SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,47.46,88,13.81,24.86,16.35,13.85,1.5,7.09,9.95,3.0,1.3,60.0,4.97,15.0,29.62,0.0,20.0,5.01,
88,Graphic Era University,Dehradun,Uttarakhand,47.29,89,13.0,25.0,12.83,6.62,0.0,6.39,9.26,7.0,0.3,60.0,4.11,20.97,28.52,0.49,20.0,33.38,
89,National Institute of Technology Durgapur,Durgapur,West Bengal,46.81,90,11.76,16.81,13.35,9.2,0.0,16.69,16.2,1.0,0.68,60.0,12.25,15.19,12.77,8.16,20.0,10.45,
90,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,46.73,91,8.52,15.4,12.73,10.7,0.0,17.7,17.7,1.0,0.93,60.0,7.86,22.03,9.74,6.48,20.0,19.31,
91,Visvesvaraya Technological University,Belgaum,Karnataka,46.48,92,7.83,24.44,14.42,12.47,0.0,17.6,15.45,1.5,0.14,60.0,1.46,0.39,29.61,,20.0,3.53,
92,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,46.33,93,13.29,25.0,18.15,13.32,1.5,5.02,6.39,1.0,2.37,51.46,18.35,2.45,30.0,3.02,20.0,10.45,
93,Madurai Kamaraj University,Madurai,Tamil Nadu,46.26,94,7.74,25.0,18.65,9.57,2.5,10.6,12.74,0.5,0.6,57.2,11.47,2.79,29.01,0.0,20.0,10.45,
94,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,46.18,95,9.0,25.0,18.93,12.33,0.0,10.4,12.42,1.0,0.41,53.91,5.32,17.65,25.79,1.9,20.0,9.48,
95,Mumbai University,Mumbai,Maharashtra,45.86,96,14.39,16.49,10.88,11.9,2.5,6.93,8.67,1.0,1.22,60.0,26.24,2.8,29.43,4.04,20.0,7.82,
96,Banasthali Vidyapith,Banasthali,Rajasthan,45.85,97,16.5,16.53,11.69,5.74,0.0,,9.44,1.0,1.47,60.0,24.22,24.68,30.0,2.63,20.0,8.15,
97,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,45.84,98,12.29,25.0,17.89,13.67,0.0,8.16,7.91,1.0,1.45,60.0,2.74,9.73,30.0,3.47,20.0,7.82,
98,Indian Institute of Management Calcutta,Kolkata,West Bengal,45.74,99,6.94,20.85,16.27,16.57,0.0,4.48,6.41,0.0,3.69,60.0,3.6,24.42,21.79,0.0,20.0,38.4,
99, Christ University,Bengaluru,Karnataka,45.65,100,17.21,18.52,12.74,3.67,0.0,4.99,8.96,4.5,0.52,60.0,7.2,19.24,28.7,1.89,20.0,39.05,
