,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
0,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.69,1,17.0,21.47,15.72,19.56,13.0,31.98,32.26,15.0,10.64,58.93,28.29,22.49,13.24,7.86,20.0,100.0,
1,Indian Institute of Science,Bengaluru,Karnataka,83.09,2,11.0,25.0,18.43,20.0,8.0,35.0,33.9,11.0,8.55,52.14,28.43,25.53,10.64,3.06,20.0,97.94,
2,Indian Institute of Technology Delhi,New Delhi,Delhi,82.16,3,16.84,22.39,17.28,16.55,9.0,31.62,33.27,13.0,7.34,54.38,24.83,24.31,17.67,8.33,20.0,90.98,
3,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.28,4,17.0,20.63,16.18,15.9,11.0,30.89,31.88,15.0,8.37,56.42,27.84,20.45,13.9,4.41,20.0,84.98,
4,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.23,5,16.92,21.36,17.6,16.57,13.0,27.47,27.55,12.0,5.93,60.0,23.62,21.09,11.62,7.53,20.0,69.84,
5,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,72.14,6,11.0,25.0,18.47,20.0,2.0,32.07,29.53,1.5,4.65,60.0,10.46,24.46,28.26,0.0,20.0,75.23,
6,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.82,7,16.94,16.75,14.03,10.57,15.0,29.23,32.56,5.0,5.46,45.38,31.37,20.67,11.28,5.49,20.0,70.68,
7,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.66,8,16.15,20.02,15.63,12.88,13.0,28.1,29.78,5.0,,60.0,23.45,24.68,12.78,5.35,20.0,50.36,
8,Indian Institute of Technology Guwahati,Guwahati,Assam,68.78,9,17.0,19.26,12.93,12.24,12.0,27.98,28.21,7.0,3.79,60.0,22.95,23.99,13.36,0.95,20.0,42.44,
9,Jawaharlal Nehru University,New Delhi,Delhi,67.44,10,17.0,24.35,16.97,12.73,2.5,21.43,22.16,2.0,0.97,56.52,38.37,25.31,28.33,0.0,20.0,50.73,
10,Banaras Hindu University,Varanasi,Uttar Pradesh,67.21,11,20.0,20.92,16.38,11.47,4.0,19.14,24.85,1.5,3.69,60.0,39.64,11.96,27.43,,20.0,45.43,
11,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,65.52,12,16.0,25.0,16.0,10.88,1.5,20.09,23.71,3.0,3.03,60.0,33.85,24.47,30.0,9.24,20.0,26.4,
12,Jadavpur University,Kolkata,West Bengal,64.3,13,18.22,22.32,17.33,,2.0,23.1,24.61,3.0,2.95,60.0,30.61,5.0,24.47,7.62,20.0,41.08,
13,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,64.24,14,10.17,24.96,18.29,14.97,6.0,24.55,23.83,4.0,2.74,60.0,13.26,19.17,16.5,3.37,20.0,48.36,
14,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.74,15,18.0,25.0,16.85,11.55,2.0,19.76,19.8,6.0,4.79,60.0,13.93,21.6,27.41,3.76,20.0,35.71,
15,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,62.71,16,17.49,25.0,16.43,11.94,2.0,21.44,24.74,3.0,5.13,60.0,17.97,17.9,27.44,1.06,20.0,24.39,
16,Vellore Institute of Technology,Vellore,Tamil Nadu,62.7,17,20.0,18.05,12.9,4.72,0.0,23.74,30.37,9.0,0.48,60.0,20.43,19.38,23.05,0.12,20.0,45.71,
17,Anna University,Chennai,Tamil Nadu,62.36,18,15.25,18.49,12.57,6.92,3.0,24.18,27.06,10.0,2.99,57.43,17.16,0.77,25.5,4.02,20.0,62.67,
18,Aligarh Muslim University,Aligarh,Uttar Pradesh,62.27,19,17.5,24.07,17.38,9.92,0.0,18.63,23.61,3.0,1.64,59.87,34.69,9.08,25.83,5.13,20.0,26.4,
