,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 30.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 30.00),RP_PU Score (Max 35.00),RP_QP Score (Max 40.00),RP_IPR Score (Max 15.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 40.00),GO_GUE Score (Max 15.00),GO_MS Score (Max 25.00),GO_GPHD Score (Max 20.00),OI_RD Score (Max 30.00),OI_WD Score (Max 30.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 20.00),PR Score (Max 100.00)
20,National Institute of Technology Warangal,Warangal,Telangana,61.13,21,16.5,24.79,16.34,14.95,20.81,21.81,7.0,1.23,32.81,15.0,17.42,9.18,15.94,16.52,4.73,20.0,34.99
21,Indian Institute of Technology Ropar,Rupnagar,Punjab,60.51,22,11.05,28.28,18.13,19.81,17.96,18.73,4.0,3.84,31.57,15.0,18.96,5.54,22.29,14.74,7.91,20.0,32.7
22,National Institute of Technology Calicut,Kozhikode,Kerala,60.28,23,16.0,27.3,17.41,13.33,,17.44,5.0,1.27,37.47,15.0,16.24,10.21,15.32,22.89,9.76,20.0,33.06
23,Institute of Chemical Technology,Mumbai,Maharashtra,59.7,24,10.82,26.74,18.02,17.36,17.54,19.84,14.0,4.93,30.76,15.0,13.54,9.7,7.65,24.91,1.1,20.0,17.57
24,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,59.52,25,18.84,20.2,13.36,11.77,21.38,26.68,4.0,0.81,36.98,15.0,19.66,6.76,19.93,14.43,0.02,20.0,32.88
25,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,59.3,26,10.5,26.85,14.78,9.77,26.86,26.71,3.0,3.03,37.84,15.0,13.02,7.35,22.91,11.78,9.16,20.0,18.34
26,Siksha `O` Anusandhan,Bhubaneswar,Odisha,58.92,27,17.36,30.0,15.42,13.74,16.01,19.12,8.0,1.0,32.61,15.0,9.54,8.31,20.88,30.0,1.3,20.0,24.07
27,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,58.56,28,17.55,23.45,13.16,9.93,24.44,29.73,6.0,0.31,32.83,14.81,9.54,7.82,18.31,22.49,0.8,20.0,22.01
28,Delhi Technological University,New Delhi,Delhi,58.34,29,18.9,30.0,11.96,9.57,18.33,21.47,0.5,0.83,36.74,15.0,17.44,5.09,14.24,19.6,3.19,20.0,43.22
29,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,58.03,30,11.04,30.0,18.58,21.34,15.51,16.58,1.5,4.64,35.69,15.0,18.42,3.97,19.01,20.42,5.42,20.0,11.7
30,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.3,31,15.5,27.54,14.73,8.52,24.9,24.96,11.0,0.61,27.37,15.0,10.18,5.73,15.99,23.28,0.16,20.0,13.75
31,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.26,32,11.0,30.0,16.17,12.9,24.95,25.86,7.0,2.03,29.42,12.61,11.43,5.66,5.38,11.59,3.23,20.0,24.51
32,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,56.49,33,9.24,22.26,15.21,15.92,17.72,18.13,4.0,2.62,37.04,13.57,21.25,,20.74,16.29,9.31,20.0,24.73
33,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,56.21,34,16.47,30.0,16.75,10.82,16.25,20.99,5.0,1.9,34.85,15.0,12.41,6.82,11.72,25.81,0.44,20.0,11.4
34,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,56.12,35,13.44,22.64,14.55,12.83,20.81,20.29,3.0,1.58,32.35,14.88,13.52,10.72,11.94,17.44,9.83,20.0,31.97
35,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,55.69,36,16.47,30.0,17.59,10.07,13.85,17.78,4.0,0.6,34.88,15.0,10.62,8.0,17.53,30.0,7.8,20.0,13.46
36,Malaviya National Institute of Technology,Jaipur,Rajasthan,55.6,37,15.25,23.51,15.72,11.22,21.18,23.22,5.0,1.86,29.41,15.0,14.4,8.08,12.94,19.12,7.5,20.0,11.7
37,Chandigarh University,Mohali,Punjab,55.2,38,18.95,30.0,16.64,10.11,,13.28,9.0,0.35,23.69,15.0,12.56,7.94,25.0,30.0,4.56,20.0,33.77
38,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,55.14,39,20.0,25.27,15.82,11.51,13.84,18.03,10.0,0.46,20.69,15.0,11.45,10.44,25.66,29.86,1.86,20.0,14.59
39,National Institute of Technology Silchar,Silchar,Assam,55.07,40,13.34,21.04,14.23,12.25,22.65,23.74,7.0,1.19,33.26,15.0,14.72,6.79,14.0,15.33,4.02,20.0,11.4
40,Indian Institute of Technology Patna,Patna,Bihar,55.03,41,10.99,17.84,11.84,16.27,22.35,22.3,3.0,3.75,30.46,13.68,19.77,8.34,18.76,10.37,7.02,20.0,24.73
41,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,55.03,41,14.04,22.45,15.13,13.51,17.12,17.29,10.0,2.62,35.07,15.0,15.58,0.72,12.63,17.29,3.48,20.0,14.88
42,National Institute of Technology Durgapur,Durgapur,West Bengal,53.91,43,14.42,22.44,14.27,13.41,18.64,19.06,2.0,1.62,35.84,15.0,13.99,9.38,14.54,13.1,8.16,20.0,19.1
43,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,53.69,44,17.43,30.0,17.2,6.3,19.9,19.87,6.0,0.37,24.27,15.0,11.36,7.29,10.15,25.8,0.48,20.0,13.46
44,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,52.88,45,12.5,28.32,16.13,10.73,18.75,18.42,3.0,0.91,33.47,15.0,12.25,6.22,3.89,25.52,3.81,20.0,15.43
45,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,52.85,46,15.59,29.21,13.96,9.23,14.88,18.38,3.0,0.5,25.83,15.0,13.59,6.44,14.24,25.14,8.38,20.0,24.73
46,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,52.42,47,10.95,20.18,13.92,15.3,15.66,16.86,2.0,2.82,33.73,15.0,19.01,6.41,21.19,10.0,6.48,20.0,24.95
47,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.04,48,,30.0,16.85,19.03,11.1,10.45,2.0,0.89,30.33,13.86,16.27,2.95,19.62,17.72,4.38,20.0,39.39
48,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.89,49,16.01,16.61,11.34,13.18,16.27,18.2,4.0,1.9,36.73,15.0,16.84,9.0,12.93,12.04,9.82,20.0,16.51
49,Lovely Professional University,Phagwara,Punjab,51.47,50,18.0,23.53,12.72,5.39,14.69,21.73,13.0,0.1,20.21,15.0,11.49,2.79,24.43,19.08,0.0,20.0,25.39
50,National Institute of Technology Delhi,Delhi,Delhi,51.41,51,6.79,30.0,17.95,13.72,13.96,13.61,1.5,0.77,29.74,15.0,16.62,2.22,18.88,22.52,11.01,20.0,19.6
51,Visvesvaraya Technological University,Belgaum,Karnataka,51.38,52,,26.64,13.59,18.6,26.29,20.26,3.0,0.42,28.1,14.61,8.72,1.22,0.36,28.02,3.56,20.0,8.91
52,Birla Institute of Technology,Ranchi,Jharkhand,50.68,53,12.52,27.61,16.44,11.49,17.8,17.36,0.5,1.35,25.77,13.74,15.13,4.92,11.49,18.9,1.01,20.0,22.01
53,UPES,Dehradun,Uttarakhand,50.63,54,14.5,26.42,15.52,11.01,15.07,18.07,6.0,0.31,20.32,15.0,10.23,0.52,21.31,21.36,0.07,20.0,30.66
54,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,50.33,55,9.5,20.58,14.25,12.24,17.02,17.45,3.0,3.44,25.64,12.02,25.0,2.34,21.3,16.64,0.43,20.0,23.4
55,National Institute of Technology Patna,Patna,Bihar,50.16,56,12.86,22.44,14.85,11.64,17.22,19.39,1.5,1.65,35.4,15.0,14.44,5.73,9.98,12.27,10.03,20.0,4.87
56,Defence Institute of Advanced Technology,Pune,Maharashtra,50.14,57,5.0,29.46,18.12,16.45,15.06,15.41,5.0,6.3,20.74,9.87,20.82,2.62,14.44,24.02,0.0,20.0,2.69
57,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,49.89,58,15.41,17.78,10.16,11.9,17.42,19.92,3.0,0.86,29.09,15.0,12.25,4.21,14.59,16.08,3.46,20.0,35.17
58,"Indian Institute of Technology, Tirupati",Yerpedu,Andhra Pradesh,49.8,59,9.32,30.0,17.47,19.0,6.54,8.8,0.5,2.65,30.88,15.0,16.45,0.38,16.22,12.23,9.7,20.0,32.52
59,Netaji Subhas University of Technology (NSUT),South West,Delhi,49.68,60,16.21,28.53,15.35,8.87,9.14,12.42,1.5,0.39,34.73,15.0,18.8,7.03,5.24,18.66,2.36,20.0,22.25
60,Manipal Institute of Technology,Manipal,Karnataka,49.62,61,16.34,27.97,13.86,,14.76,18.76,2.0,0.13,21.84,15.0,13.34,3.83,19.03,24.71,1.51,20.0,21.78
61,Graphic Era University,Dehradun,Uttarakhand,49.59,62,14.0,25.4,14.45,10.55,9.58,12.29,10.0,0.26,24.51,15.0,11.18,3.06,19.92,28.19,0.43,20.0,31.23
62,PSG College of Technology,Coimbatore,Tamil Nadu,49.43,63,14.71,28.01,13.97,7.81,10.31,13.18,6.0,0.49,26.07,14.52,11.25,3.06,1.04,24.05,2.42,20.0,53.86
63,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,49.3,64,15.5,28.73,19.38,,18.01,19.73,8.0,0.28,9.75,15.0,8.96,1.45,20.24,22.93,6.17,20.0,1.94
64,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49.0,65,14.05,19.62,13.22,10.9,16.67,18.18,5.0,1.09,31.08,14.74,13.82,6.37,12.44,15.85,3.58,20.0,10.17
65,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.87,66,15.46,25.28,13.13,,16.99,18.53,8.0,0.52,19.11,13.64,9.3,5.46,18.34,26.13,2.28,20.0,11.7
66,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,48.15,67,8.08,30.0,16.94,19.6,7.73,10.46,0.0,3.33,25.38,14.52,17.2,0.23,19.91,11.3,5.35,20.0,22.01
67,Banasthali Vidyapith,Banasthali,Rajasthan,47.93,68,11.49,27.97,16.58,8.58,7.86,10.59,2.0,0.81,36.89,15.0,12.41,8.23,18.55,30.0,4.49,20.0,4.16
68,Indian Institute of Technology Palakkad,Palakkad,Kerala,47.86,69,7.56,30.0,16.47,17.94,6.78,7.86,0.0,2.86,29.88,15.0,16.15,0.15,19.94,21.24,4.79,20.0,21.78
69,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.69,70,14.08,19.33,12.8,9.39,17.92,19.4,2.5,0.54,28.07,15.0,14.59,6.69,11.92,15.48,,20.0,4.51
70,University of Hyderabad,Hyderabad,Telangana,47.51,71,2.89,27.2,17.77,11.5,23.58,21.05,0.0,1.29,24.62,11.23,12.79,5.7,5.53,17.67,0.0,20.0,7.27
71,National Institute of Technology Meghalaya,Shillong,Meghalaya,47.27,72,5.81,30.0,18.37,13.38,14.73,13.62,1.0,2.02,29.07,13.1,13.33,2.16,9.13,16.9,9.37,20.0,5.22
72,"College of Engineering, Pune",Pune,Maharashtra,46.89,73,11.5,26.88,13.35,13.77,8.12,7.4,5.0,2.4,35.25,15.0,14.9,1.73,2.43,23.99,5.5,20.0,19.1
73,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,46.58,74,6.16,21.96,13.08,26.04,7.92,4.68,1.0,7.27,24.41,14.92,23.16,0.88,24.77,16.84,0.0,20.0,16.78
74,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,46.57,75,11.42,16.85,11.48,12.24,16.35,16.0,1.0,3.33,31.51,15.0,20.0,3.38,10.56,16.1,0.67,20.0,12.59
75,Manipal University Jaipur,Jaipur,Rajasthan,46.39,76,12.97,23.44,13.86,8.3,11.92,14.18,7.0,0.19,34.05,15.0,11.38,0.81,20.94,22.38,0.19,20.0,2.32
76,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.03,77,11.89,27.88,13.38,10.52,8.29,9.99,6.0,0.27,37.29,15.0,11.07,0.74,1.06,25.72,3.47,20.0,17.57
77,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.99,78,13.75,28.34,15.27,8.43,7.6,9.35,5.0,0.35,33.3,15.0,11.65,1.98,8.74,25.19,1.73,20.0,15.97
78,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,45.97,79,8.0,29.47,18.57,20.64,3.02,,0.0,2.43,37.12,15.0,13.87,2.51,18.19,13.02,3.36,20.0,0.4
79,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,45.9,80,15.45,17.51,11.92,9.45,13.16,15.85,3.0,0.75,31.66,15.0,15.3,3.83,12.52,18.14,10.01,20.0,6.26
80,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,45.86,81,6.59,30.0,16.83,19.67,4.72,,0.0,2.71,32.56,15.0,17.39,0.59,23.08,8.99,7.22,20.0,8.26
81,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.7,82,13.01,19.3,13.03,13.1,11.01,12.69,2.0,0.92,30.57,15.0,13.58,5.73,12.47,14.81,12.68,20.0,12.3
82,Jawaharlal Nehru Technological University,Hyderabad,Telangana,44.75,83,14.0,23.83,12.47,15.62,10.31,10.74,4.0,2.57,24.04,12.47,10.09,3.42,2.48,26.45,6.24,20.0,12.3
83,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.31,84,9.5,23.98,13.84,8.01,16.84,15.66,0.5,0.7,23.95,15.0,14.04,3.27,6.23,21.1,1.21,18.0,17.04
84,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,43.74,85,13.85,30.0,15.2,4.16,,10.44,8.0,0.33,20.87,14.71,10.14,2.95,8.91,26.36,5.86,20.0,7.93
85,Rajalakshmi Engineering College,Chennai,Tamil Nadu,43.46,86,14.3,29.03,14.52,7.69,2.99,5.85,5.0,0.78,34.53,15.0,10.09,2.68,6.4,27.81,9.08,20.0,6.26
86,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,43.43,87,13.1,28.55,13.72,4.12,12.56,15.02,7.0,0.2,16.54,12.19,9.08,0.52,20.33,19.31,6.27,20.0,8.91
87,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,43.41,88,6.43,20.39,14.31,11.42,9.42,10.54,0.0,0.86,36.83,15.0,21.4,1.41,22.1,12.54,3.44,20.0,6.6
88,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,43.29,89,10.38,15.27,10.46,8.9,9.45,10.23,1.5,0.75,34.25,15.0,23.23,4.84,17.66,12.36,3.61,20.0,23.85
89,National Institute of Technology Goa,Ponda,Goa,43.28,90,5.84,25.61,16.5,11.3,11.01,10.76,1.5,0.66,27.2,13.63,13.34,2.51,16.46,19.27,2.74,20.0,11.4
90,National Institute of Technology Agartala,Agratala,Tripura,43.24,91,12.4,19.51,12.49,9.97,11.28,14.18,2.5,0.25,28.53,13.32,12.96,4.57,12.25,18.7,8.66,20.0,6.26
91,Chitkara  University,Rajpura,Punjab,42.48,92,14.43,15.15,9.23,8.7,8.62,11.97,10.0,0.29,24.28,14.51,12.34,1.22,17.6,24.84,0.41,20.0,22.25
92,Indian Institute Of Technology Dharwad,Dharwad,Karnataka,42.36,93,7.0,26.51,14.75,16.59,5.23,7.3,0.0,2.63,26.67,15.0,15.54,0.15,22.81,13.89,2.47,0.0,29.69
93,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.32,94,12.5,20.56,11.69,14.42,4.13,4.52,3.0,1.33,38.72,15.0,11.16,,2.51,28.1,6.19,20.0,5.92
94,National Institute of Technology Manipur,Imphal,Manipur,42.28,95,,29.66,15.94,10.31,8.09,10.73,1.0,0.79,23.78,13.75,12.94,2.9,10.62,20.47,10.14,20.0,3.79
95,R.V. College of Engineering,Bengaluru,Karnataka,42.22,96,14.0,27.45,14.87,7.54,7.09,6.62,3.0,0.34,26.46,15.0,14.69,1.02,,22.62,2.29,20.0,14.03
96,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",Jabalpur,Madhya Pradesh,42.14,97,8.83,15.12,10.32,10.38,12.97,15.16,1.5,0.84,33.64,15.0,15.59,4.21,19.69,10.24,6.09,20.0,3.06
97,SR University,Warangal,Telangana,42.09,98,10.93,30.0,17.52,6.87,4.86,7.9,3.0,0.04,26.78,15.0,9.82,0.38,6.63,29.67,6.36,20.0,10.79
98,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,41.99,99,7.89,30.0,19.07,,7.37,9.42,4.0,0.94,19.08,15.0,9.24,1.98,14.79,26.12,2.83,20.0,7.93
99,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,41.93,100,14.3,29.13,16.74,9.62,0.49,1.84,3.0,0.37,32.59,15.0,10.45,0.23,17.9,26.41,5.64,20.0,6.26
