,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 30.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 30.00),RP_PU Score (Max 35.00),RP_QP Score (Max 40.00),RP_IPR Score (Max 15.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 40.00),GO_GUE Score (Max 15.00),GO_MS Score (Max 25.00),GO_GPHD Score (Max 20.00),OI_RD Score (Max 30.00),OI_WD Score (Max 30.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 20.00),PR Score (Max 100.00)
0,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.79,1,18.5,30.0,17.3,29.4,35.0,36.41,15.0,10.0,28.54,14.6,20.0,16.75,21.29,14.41,7.86,20.0,100.0
1,Indian Institute of Technology Delhi,New Delhi,Delhi,87.09,2,18.43,26.2,17.05,23.21,34.09,38.72,15.0,6.94,33.59,13.5,21.18,16.73,22.94,16.65,8.33,20.0,94.07
2,Indian Institute of Technology Bombay,Mumbai,Maharashtra,80.74,3,18.5,24.0,16.09,20.53,31.5,34.4,15.0,7.04,31.34,13.89,19.5,17.2,19.03,13.46,4.41,20.0,85.36
3,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,80.65,4,18.5,25.29,17.36,23.2,28.45,30.39,14.0,7.32,36.04,15.0,21.93,16.02,19.94,11.35,7.53,20.0,76.15
4,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,75.64,5,17.61,23.7,15.5,17.74,29.63,34.04,10.0,4.68,37.59,15.0,20.78,15.54,23.08,11.96,5.38,20.0,59.37
5,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,73.76,6,18.45,20.07,14.03,14.71,30.59,37.26,8.0,2.44,31.21,13.14,20.33,20.0,19.62,10.55,5.88,20.0,75.51
6,Indian Institute of Technology Guwahati,Guwahati,Assam,70.32,7,18.5,20.99,12.01,16.2,28.74,30.97,10.0,5.29,32.31,15.0,22.09,15.61,22.6,11.4,0.95,20.0,50.09
7,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,70.28,8,12.65,30.0,18.32,22.89,24.53,24.25,7.0,5.35,31.37,15.0,21.42,8.43,17.08,15.41,3.46,20.0,60.04
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,69.71,9,17.5,23.39,15.86,16.99,25.69,27.48,6.0,2.28,35.23,15.0,17.02,11.57,16.68,20.76,,20.0,67.98
9,Jadavpur University,Kolkata,West Bengal,67.04,10,17.35,29.25,18.97,11.32,27.98,29.01,6.0,2.91,33.67,15.0,15.95,12.06,6.54,18.03,8.24,20.0,35.84
10,Vellore Institute of Technology,Vellore,Tamil Nadu,66.59,11,20.0,21.54,13.65,7.16,26.96,37.21,11.0,0.24,27.9,15.0,13.38,14.41,19.65,21.86,0.12,20.0,50.21
11,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,65.26,12,17.5,22.47,14.23,18.9,23.14,23.44,6.0,3.51,33.87,15.0,16.87,11.49,16.65,16.32,9.99,20.0,48.38
12,Anna University,Chennai,Tamil Nadu,65.06,13,17.59,23.2,13.45,9.98,27.4,32.94,12.0,2.44,21.6,14.37,11.72,12.25,0.59,25.29,4.14,20.0,65.5
13,Indian Institute of Technology Indore,Indore,Madhya Pradesh,63.93,14,10.88,29.99,17.79,17.23,25.55,26.3,5.0,4.04,27.47,15.0,20.37,9.84,19.96,13.81,5.76,20.0,24.73
14,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.74,15,16.8,17.7,12.35,14.27,23.48,27.98,6.0,2.56,35.44,15.0,20.27,11.51,16.77,10.22,9.47,20.0,53.31
15,National Institute of Technology Rourkela,Rourkela,Odisha,62.79,16,17.5,25.7,17.05,13.71,25.91,27.98,6.0,1.81,30.41,15.0,14.52,11.61,15.95,14.41,8.69,20.0,18.85
16,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.37,17,15.0,21.48,14.7,15.19,26.91,30.33,4.0,2.35,31.15,12.64,17.91,11.22,19.16,10.32,7.76,20.0,30.85
17,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,61.66,18,10.0,30.0,19.48,23.32,18.05,16.61,2.0,6.19,29.68,14.57,16.71,7.91,21.18,20.24,4.71,20.0,35.84
18,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.54,19,18.0,30.0,18.21,10.22,23.06,21.55,8.0,1.94,34.36,15.0,10.21,2.28,17.66,21.95,5.44,20.0,33.77
19,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,61.24,20,17.16,26.57,15.41,11.81,21.75,30.02,9.0,0.69,31.32,15.0,15.0,9.28,17.31,24.97,0.79,20.0,10.79
