,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
56,Thapar Institute of Engineering and Technology,Patiala,Punjab,49.65,57,13.86,15.12,12.09,8.79,0.0,18.92,23.19,2.0,0.71,60.0,10.57,14.32,19.99,0.79,20.0,16.21,
57,Lovely Professional University,Phagwara,Punjab,49.54,58,17.85,22.87,11.49,4.19,0.0,10.1,15.05,7.0,2.57,60.0,,23.78,22.02,3.53,20.0,20.57,
58,"Indian Institute of Technology, Patna",Patna,Bihar,49.47,59,8.26,20.28,15.49,12.02,6.0,19.87,17.77,1.0,0.67,54.33,7.92,17.39,9.37,5.22,20.0,14.24,
59,JSS Academy of Higher Education and Research,Mysuru,Karnataka,49.31,60,14.0,25.0,17.52,11.6,0.0,6.64,11.3,1.5,1.97,60.0,9.04,15.93,30.0,3.44,20.0,16.97,
60,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,49.29,61,8.6,22.58,17.09,13.48,5.0,1.43,14.45,0.0,0.9,57.63,7.2,23.23,20.04,3.57,20.0,8.66,
61,Symbiosis International,Pune,Maharashtra,49.22,62,14.97,24.1,14.99,11.57,0.0,4.24,7.76,1.5,4.3,60.0,14.9,16.46,28.32,1.78,20.0,25.46,
62,Delhi Technological University,New Delhi,Delhi,49.03,63,15.73,25.0,11.02,6.18,0.0,13.07,,0.5,1.78,60.0,6.55,14.71,20.67,1.96,20.0,28.71,
63,Gauhati University,Guwahati,Assam,48.98,64,16.0,18.77,14.66,9.99,0.0,8.82,10.67,1.0,1.47,60.0,29.82,4.71,30.0,3.49,20.0,8.66,
64,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,48.46,65,9.42,18.67,15.14,10.93,0.0,18.18,18.51,0.5,1.01,58.74,6.71,23.28,10.48,6.69,20.0,16.97,
65,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,48.45,66,11.42,16.55,12.42,8.43,1.5,19.79,17.76,0.5,1.3,56.18,14.26,11.42,13.85,3.29,20.0,27.26,
